id,interval_start,interval_end,consumption,mpan,meter_serial
1,"2025-02-13 23:00:00","2025-02-14 00:00:00",0.014,1900015119183,19L3542545
2,"2025-02-13 22:00:00","2025-02-13 23:00:00",2.641,1900015119183,19L3542545
3,"2025-02-13 21:00:00","2025-02-13 22:00:00",4.949,1900015119183,19L3542545
4,"2025-02-13 20:00:00","2025-02-13 21:00:00",0.014,1900015119183,19L3542545
5,"2025-02-13 19:00:00","2025-02-13 20:00:00",0.016,1900015119183,19L3542545
6,"2025-02-13 18:00:00","2025-02-13 19:00:00",0.014,1900015119183,19L3542545
7,"2025-02-13 17:00:00","2025-02-13 18:00:00",0.013,1900015119183,19L3542545
8,"2025-02-13 16:00:00","2025-02-13 17:00:00",0.01,1900015119183,19L3542545
9,"2025-02-13 15:00:00","2025-02-13 16:00:00",0.011,1900015119183,19L3542545
10,"2025-02-13 14:00:00","2025-02-13 15:00:00",0.013,1900015119183,19L3542545
11,"2025-02-13 13:00:00","2025-02-13 14:00:00",0.009,1900015119183,19L3542545
12,"2025-02-13 12:00:00","2025-02-13 13:00:00",0.009,1900015119183,19L3542545
13,"2025-02-13 11:00:00","2025-02-13 12:00:00",0.007,1900015119183,19L3542545
14,"2025-02-13 10:00:00","2025-02-13 11:00:00",0.009,1900015119183,19L3542545
15,"2025-02-13 09:00:00","2025-02-13 10:00:00",0.01,1900015119183,19L3542545
16,"2025-02-13 08:00:00","2025-02-13 09:00:00",0.012,1900015119183,19L3542545
17,"2025-02-13 07:00:00","2025-02-13 08:00:00",4.209,1900015119183,19L3542545
18,"2025-02-13 06:00:00","2025-02-13 07:00:00",4.841,1900015119183,19L3542545
19,"2025-02-13 05:00:00","2025-02-13 06:00:00",1.87,1900015119183,19L3542545
20,"2025-02-13 04:00:00","2025-02-13 05:00:00",6.164,1900015119183,19L3542545
21,"2025-02-13 03:00:00","2025-02-13 04:00:00",8.283,1900015119183,19L3542545
22,"2025-02-13 02:00:00","2025-02-13 03:00:00",0.408,1900015119183,19L3542545
23,"2025-02-13 01:00:00","2025-02-13 02:00:00",0.54,1900015119183,19L3542545
24,"2025-02-13 00:00:00","2025-02-13 01:00:00",0.504,1900015119183,19L3542545
25,"2025-02-12 23:00:00","2025-02-13 00:00:00",0.009,1900015119183,19L3542545
26,"2025-02-12 22:00:00","2025-02-12 23:00:00",0.008,1900015119183,19L3542545
27,"2025-02-12 21:00:00","2025-02-12 22:00:00",0.006,1900015119183,19L3542545
28,"2025-02-12 20:00:00","2025-02-12 21:00:00",0.01,1900015119183,19L3542545
29,"2025-02-12 19:00:00","2025-02-12 20:00:00",0.011,1900015119183,19L3542545
30,"2025-02-12 18:00:00","2025-02-12 19:00:00",0.009,1900015119183,19L3542545
31,"2025-02-12 17:00:00","2025-02-12 18:00:00",0.009,1900015119183,19L3542545
32,"2025-02-12 16:00:00","2025-02-12 17:00:00",0.006,1900015119183,19L3542545
33,"2025-02-12 15:00:00","2025-02-12 16:00:00",0.005,1900015119183,19L3542545
34,"2025-02-12 14:00:00","2025-02-12 15:00:00",0.001,1900015119183,19L3542545
35,"2025-02-12 13:00:00","2025-02-12 14:00:00",0.003,1900015119183,19L3542545
36,"2025-02-12 12:00:00","2025-02-12 13:00:00",0.006,1900015119183,19L3542545
37,"2025-02-12 11:00:00","2025-02-12 12:00:00",0.005,1900015119183,19L3542545
38,"2025-02-12 10:00:00","2025-02-12 11:00:00",0.005,1900015119183,19L3542545
39,"2025-02-12 09:00:00","2025-02-12 10:00:00",0.006,1900015119183,19L3542545
40,"2025-02-12 08:00:00","2025-02-12 09:00:00",0.009,1900015119183,19L3542545
41,"2025-02-12 07:00:00","2025-02-12 08:00:00",6.277,1900015119183,19L3542545
42,"2025-02-12 06:00:00","2025-02-12 07:00:00",1.586,1900015119183,19L3542545
43,"2025-02-12 05:00:00","2025-02-12 06:00:00",0.46,1900015119183,19L3542545
44,"2025-02-12 04:00:00","2025-02-12 05:00:00",3.962,1900015119183,19L3542545
45,"2025-02-12 03:00:00","2025-02-12 04:00:00",8.345,1900015119183,19L3542545
46,"2025-02-12 02:00:00","2025-02-12 03:00:00",0.461,1900015119183,19L3542545
47,"2025-02-12 01:00:00","2025-02-12 02:00:00",0.002,1900015119183,19L3542545
48,"2025-02-12 00:00:00","2025-02-12 01:00:00",0.004,1900015119183,19L3542545
49,"2025-02-11 23:00:00","2025-02-12 00:00:00",0.003,1900015119183,19L3542545
50,"2025-02-11 22:00:00","2025-02-11 23:00:00",0.009,1900015119183,19L3542545
51,"2025-02-11 21:00:00","2025-02-11 22:00:00",0.949,1900015119183,19L3542545
52,"2025-02-11 20:00:00","2025-02-11 21:00:00",6.965,1900015119183,19L3542545
53,"2025-02-11 19:00:00","2025-02-11 20:00:00",0.008,1900015119183,19L3542545
54,"2025-02-11 18:00:00","2025-02-11 19:00:00",0.006,1900015119183,19L3542545
55,"2025-02-11 17:00:00","2025-02-11 18:00:00",0.006,1900015119183,19L3542545
56,"2025-02-11 16:00:00","2025-02-11 17:00:00",0.005,1900015119183,19L3542545
57,"2025-02-11 15:00:00","2025-02-11 16:00:00",0.0,1900015119183,19L3542545
58,"2025-02-11 14:00:00","2025-02-11 15:00:00",0.002,1900015119183,19L3542545
59,"2025-02-11 13:00:00","2025-02-11 14:00:00",0.004,1900015119183,19L3542545
60,"2025-02-11 12:00:00","2025-02-11 13:00:00",0.001,1900015119183,19L3542545
61,"2025-02-11 11:00:00","2025-02-11 12:00:00",0.001,1900015119183,19L3542545
62,"2025-02-11 10:00:00","2025-02-11 11:00:00",0.002,1900015119183,19L3542545
63,"2025-02-11 09:00:00","2025-02-11 10:00:00",0.001,1900015119183,19L3542545
64,"2025-02-11 08:00:00","2025-02-11 09:00:00",0.004,1900015119183,19L3542545
65,"2025-02-11 07:00:00","2025-02-11 08:00:00",6.474,1900015119183,19L3542545
66,"2025-02-11 06:00:00","2025-02-11 07:00:00",0.005,1900015119183,19L3542545
67,"2025-02-11 05:00:00","2025-02-11 06:00:00",0.246,1900015119183,19L3542545
68,"2025-02-11 04:00:00","2025-02-11 05:00:00",4.982,1900015119183,19L3542545
69,"2025-02-11 03:00:00","2025-02-11 04:00:00",8.07,1900015119183,19L3542545
70,"2025-02-11 02:00:00","2025-02-11 03:00:00",0.439,1900015119183,19L3542545
71,"2025-02-11 01:00:00","2025-02-11 02:00:00",0.432,1900015119183,19L3542545
72,"2025-02-11 00:00:00","2025-02-11 01:00:00",2.536,1900015119183,19L3542545
73,"2025-02-10 23:00:00","2025-02-11 00:00:00",0.009,1900015119183,19L3542545
