id,inverter_sn,wifi_sn,ac_power,yield_today,yield_total,feedin_power,feedin_energy,consume_energy,battery_power,battery_soc,pv1_power,pv2_power,inverter_status,upload_time,timestamp,is_synthetic
1,H4752AI4347154,SV8RYX9GZU,499.0,10.0,15568.8,192.0,4692.0,18788.42,0.0,98.0,244.0,289.0,102,"2025-02-05 15:23:57","2025-02-05 15:25:51.224726",0
2,H4752AI4347154,SV8RYX9GZU,1378.0,10.0,15568.8,0.0,4692.0,18788.42,-881.0,98.0,230.0,267.0,102,"2025-02-05 15:28:57","2025-02-05 15:30:26.258004",0
3,H4752AI4347154,SV8RYX9GZU,1378.0,10.0,15568.8,0.0,4692.0,18788.42,-881.0,98.0,230.0,267.0,102,"2025-02-05 15:28:57","2025-02-05 15:31:26.428734",0
4,H4752AI4347154,SV8RYX9GZU,616.0,16.3,15575.1,0.0,4692.1,18788.42,-616.0,46.0,0.0,0.0,102,"2025-02-05 23:24:02","2025-02-05 23:26:27.902622",0
5,H4752AI4347154,SV8RYX9GZU,637.0,8.2,15583.6,164.0,4692.8,18799.72,0.0,100.0,307.0,378.0,102,"2025-02-06 12:09:10","2025-02-06 12:11:36.415195",0
6,H4752AI4347154,SV8RYX9GZU,425.0,13.0,15588.4,0.0,4694.8,18799.72,-377.0,95.0,39.0,45.0,102,"2025-02-06 16:14:12","2025-02-06 16:17:41.976571",0
7,H4752AI4347154,SV8RYX9GZU,275.0,3.4,15599.3,-176.0,4696.8,18821.15,0.0,10.0,140.0,160.0,102,"2025-02-07 12:19:25","2025-02-07 12:20:37.684840",0
8,H4752AI4347154,SV8RYX9GZU,216.0,3.6,15599.5,-155.0,4696.8,18821.95,0.0,10.0,115.0,134.0,102,"2025-02-07 13:29:26","2025-02-07 13:31:03.039857",0
9,H4752AI4347154,SV8RYX9GZU,116.0,3.8,15599.7,-437.0,4696.8,18822.45,0.0,10.0,65.0,78.0,102,"2025-02-07 14:44:18","2025-02-07 14:46:48.609059",0
10,H4752AI4347154,SV8RYX9GZU,-98.0,3.8,15599.7,-578.0,4696.8,18823.25,122.0,10.0,15.0,41.0,102,"2025-02-07 15:44:27","2025-02-07 15:46:48.852263",0
11,H4752AI4347154,SV8RYX9GZU,-63.0,3.8,15599.7,-554.0,4696.8,18824.05,0.0,10.0,1.0,2.0,102,"2025-02-07 16:49:28","2025-02-07 16:53:35.952309",0
12,H4752AI4347154,SV8RYX9GZU,0.0,3.8,15599.7,-8307.0,4696.8,18824.85,0.0,10.0,0.0,0.0,109,"2025-02-07 18:19:20","2025-02-07 18:22:00.043901",0
13,H4752AI4347154,SV8RYX9GZU,0.0,3.8,15599.7,-722.0,4696.8,18824.99,0.0,10.0,0.0,0.0,109,"2025-02-07 19:19:29","2025-02-07 19:22:00.281880",0
14,H4752AI4347154,SV8RYX9GZU,0.0,14.7,15634.0,-589.0,4697.1,18913.12,0.0,10.0,0.0,0.0,109,"2025-02-09 20:10:00","2025-02-09 20:13:46.395130",0
15,H4752AI4347154,SV8RYX9GZU,0.0,14.7,15634.0,-5538.0,4697.1,18913.28,0.0,10.0,0.0,0.0,109,"2025-02-09 21:10:00","2025-02-09 21:13:46.637421",0
16,H4752AI4347154,SV8RYX9GZU,927.0,14.8,15634.1,0.0,4697.1,18918.85,-954.0,33.0,0.0,0.0,102,"2025-02-09 22:10:01","2025-02-09 22:13:47.106452",0
17,H4752AI4347154,SV8RYX9GZU,439.0,15.5,15634.8,0.0,4697.1,18918.85,-454.0,28.0,0.0,0.0,102,"2025-02-09 23:10:01","2025-02-09 23:13:47.484946",0
18,H4752AI4347154,SV8RYX9GZU,674.0,3.8,15638.8,0.0,4697.2,18939.35,-587.0,79.0,58.0,73.0,102,"2025-02-10 11:00:09","2025-02-10 11:03:30.942722",0
19,H4752AI4347154,SV8RYX9GZU,282.0,4.4,15639.4,0.0,4697.2,18939.35,-209.0,74.0,44.0,54.0,102,"2025-02-10 12:00:10","2025-02-10 12:03:31.640070",0
20,H4752AI4347154,SV8RYX9GZU,793.0,5.2,15640.2,0.0,4697.2,18939.35,-787.0,66.0,41.0,52.0,102,"2025-02-10 13:00:10","2025-02-10 13:03:38.027716",0
21,H4752AI4347154,SV8RYX9GZU,642.0,8.1,15643.1,0.0,4697.2,18939.35,-696.0,40.0,0.0,0.0,102,"2025-02-10 18:00:13","2025-02-10 18:03:35.195629",0
22,H4752AI4347154,SV8RYX9GZU,602.0,9.1,15644.1,0.0,4697.2,18939.35,-612.0,31.0,0.0,0.0,102,"2025-02-10 19:00:14","2025-02-10 19:03:35.396304",0
23,H4752AI4347154,SV8RYX9GZU,495.0,11.2,15661.0,0.0,4697.3,18971.87,-527.0,23.0,0.0,0.0,102,"2025-02-11 20:05:29","2025-02-11 20:08:58.552688",0
